lat,lon,alt,date,device,os,version
40.6800117493,-73.9939193726,33,2015-02-08 01:33:52,"iPhone3,1",7.1.2,1.1
40.6770515442,-73.9984588623,30.2531108856,2015-02-08 01:42:24,"iPhone3,1",7.1.2,1.1
40.687374115,-73.9934616089,33,2015-02-08 02:18:40,"iPhone3,1",7.1.2,1.1
40.6829910278,-73.9772796631,33,2015-02-08 02:40:00,"iPhone3,1",7.1.2,1.1
40.67786026,-73.9781188965,28.7636051178,2015-02-08 02:50:40,"iPhone3,1",7.1.2,1.1
40.6779212952,-73.9781112671,29.4885444641,2015-02-08 12:24:32,"iPhone3,1",7.1.2,1.1
40.6733932495,-73.9794311523,32.1479148865,2015-02-08 15:53:36,"iPhone3,1",7.1.2,1.1
40.677772522,-73.9779891968,28.7238845825,2015-02-08 17:44:32,"iPhone3,1",7.1.2,1.1
40.6779708862,-73.9779891968,30.8762779236,2015-02-09 03:24:48,"iPhone3,1",7.1.2,1.1
40.6779518127,-73.977935791,31.1687049866,2015-02-09 03:26:56,"iPhone3,1",7.1.2,1.1
40.6900024414,-73.9822692871,31.9304351807,2015-02-09 14:45:20,"iPhone3,1",7.1.2,1.1
40.7181549072,-74.0032119751,15.0562820435,2015-02-09 14:51:44,"iPhone3,1",7.1.2,1.1
40.6883354187,-73.9788131714,14.4773130417,2015-02-09 17:21:04,"iPhone3,1",7.1.2,1.1
40.682182312,-73.9765014648,33,2015-02-09 17:27:28,"iPhone3,1",7.1.2,1.1
40.6778373718,-73.9780883789,33,2015-02-09 17:33:52,"iPhone3,1",7.1.2,1.1
40.6983146667,-73.9893569946,28.0250816345,2015-02-09 18:40:00,"iPhone3,1",7.1.2,1.1
40.7182693481,-74.0033035278,13.3763113022,2015-02-09 18:44:16,"iPhone3,1",7.1.2,1.1
40.7042579651,-73.993850708,14.163441658,2015-02-09 22:02:40,"iPhone3,1",7.1.2,1.1
40.6835441589,-73.9763336182,16.7606334686,2015-02-09 22:09:04,"iPhone3,1",7.1.2,1.1
40.6779518127,-73.9781417847,29.1799163818,2015-02-09 22:13:20,"iPhone3,1",7.1.2,1.1
40.674446106,-73.9818878174,33,2015-02-10 00:02:08,"iPhone3,1",7.1.2,1.1
40.6782913208,-73.978767395,32.8090438843,2015-02-10 01:01:52,"iPhone3,1",7.1.2,1.1
40.6778907776,-73.9780960083,30.8506069183,2015-02-12 04:28:48,"iPhone3,1",7.1.2,1.1
40.677822113,-73.9780654907,15.3266983032,2015-02-12 04:30:56,"iPhone3,1",7.1.2,1.1
40.6787948608,-73.9767913818,30.3885307312,2015-02-12 21:17:52,"iPhone3,1",7.1.2,1.1
40.6779785156,-73.9779586792,31.5385475159,2015-02-12 21:17:52,"iPhone3,1",7.1.2,1.1
40.6782341003,-73.9777450562,31.5385475159,2015-02-12 21:28:32,"iPhone3,1",7.1.2,1.1
40.6779670715,-73.9779434204,31.761932373,2015-02-12 21:28:32,"iPhone3,1",7.1.2,1.1
40.6828422546,-73.976600647,32.6460342407,2015-02-13 14:36:48,"iPhone3,1",7.1.2,1.1
40.6940307617,-73.9885864258,32.8264427185,2015-02-13 14:49:36,"iPhone3,1",7.1.2,1.1
40.7163238525,-74.004447937,14.4967594147,2015-02-13 14:56:00,"iPhone3,1",7.1.2,1.1
40.7209510803,-74.000579834,10,2015-02-13 17:16:48,"iPhone3,1",7.1.2,1.1
40.7142791748,-73.9946746826,14,2015-02-13 17:40:16,"iPhone3,1",7.1.2,1.1
40.6834335327,-73.9764480591,26.0955924988,2015-02-13 17:53:04,"iPhone3,1",7.1.2,1.1
40.6782608032,-73.978729248,26.708360672,2015-02-13 17:59:28,"iPhone3,1",7.1.2,1.1
40.6744384766,-73.9819564819,32.081111908,2015-02-13 21:17:52,"iPhone3,1",7.1.2,1.1
40.6779708862,-73.9780960083,30.229593277,2015-02-13 22:06:56,"iPhone3,1",7.1.2,1.1
40.6828460693,-73.9951324463,31.2863063812,2015-02-13 23:04:32,"iPhone3,1",7.1.2,1.1
40.6777191162,-73.9780578613,32.9398727417,2015-02-13 23:10:56,"iPhone3,1",7.1.2,1.1
40.682598114,-73.9795761108,33,2015-02-13 23:25:52,"iPhone3,1",7.1.2,1.1
40.6836776733,-73.9790115356,33,2015-02-13 23:45:04,"iPhone3,1",7.1.2,1.1
40.6836700439,-73.9789657593,33,2015-02-13 23:51:28,"iPhone3,1",7.1.2,1.1
40.6837005615,-73.9788284302,33,2015-02-14 00:29:52,"iPhone3,1",7.1.2,1.1
40.7072372437,-74.0120010376,17.5814113617,2015-02-17 16:14:56,"iPhone3,1",7.1.2,1.1
40.6779785156,-73.9779510498,31.9990253448,2015-02-17 16:36:16,"iPhone3,1",7.1.2,1.1
40.6828117371,-73.9765167236,33,2015-02-17 22:45:20,"iPhone3,1",7.1.2,1.1
40.7044563293,-73.9860916138,33,2015-02-17 23:06:40,"iPhone3,1",7.1.2,1.1
40.7774276733,-73.982170105,29.0972156525,2015-02-17 23:19:28,"iPhone3,1",7.1.2,1.1
40.772151947,-73.9828491211,28.0292797089,2015-02-17 23:25:52,"iPhone3,1",7.1.2,1.1
40.7724342346,-73.9837646484,27.8800067902,2015-02-18 00:34:08,"iPhone3,1",7.1.2,1.1
40.7724990845,-73.984046936,27.1988010406,2015-02-18 04:01:04,"iPhone3,1",7.1.2,1.1
40.7472457886,-73.9932556152,17.2363262177,2015-02-18 04:26:40,"iPhone3,1",7.1.2,1.1
40.6813926697,-73.9770812988,33,2015-02-18 04:56:32,"iPhone3,1",7.1.2,1.1
40.6768989563,-73.9801025391,31.6734428406,2015-02-18 16:19:12,"iPhone3,1",7.1.2,1.1
